PERSON19	male
PERSON2	female
PERSON31	female
PERSON5	male
PERSON9	male
PERSON14	male
PERSON36	female
PERSON1	male
PERSON28	male
PERSON33	male
PERSON34	male
PERSON6	male
PERSON10	male
PERSON25	female
PERSON7	unknown
PERSON23	male
PERSON11	male
PERSON24	male
PERSON15	male
PERSON18	male
PERSON29	male
PERSON27	male
PERSON3	male
PERSON8	male
PERSON17	male
PERSON26	male
PERSON35	male
PERSON30	female
PERSON20	female
PERSON13	male
PERSON16	female
PERSON21	male
PERSON4	male
PERSON32	female
PERSON12	male
PERSON37	female
PERSON22	male
