PERSON42	female
PERSON24	male
PERSON14	female
PERSON46	unknown
PERSON11	male
PERSON5	male
PERSON41	male
PERSON48	male
PERSON43	male
PERSON2	male
PERSON18	unknown
PERSON45	male
PERSON28	male
PERSON39	male
PERSON1	female
PERSON47	male
PERSON25	male
PERSON16	male
PERSON21	male
PERSON20	male
PERSON10	male
PERSON15	male
PERSON30	female
PERSON7	female
PERSON23	male
PERSON40	male
PERSON37	male
PERSON9	unknown
PERSON12	male
PERSON44	male
PERSON32	male
PERSON49	male
PERSON19	male
PERSON8	female
PERSON13	female
PERSON33	male
PERSON36	male
PERSON4	male
PERSON50	female
PERSON31	male
PERSON29	male
PERSON26	female
PERSON38	female
PERSON27	female
PERSON35	male
PERSON3	male
PERSON17	female
PERSON22	male
PERSON34	male
PERSON6	male
