PERSON21	male
PERSON7	female
PERSON22	male
PERSON31	male
PERSON25	female
PERSON6	female
PERSON8	female
PERSON16	male
PERSON34	male
PERSON26	male
PERSON4	male
PERSON35	male
PERSON5	female
PERSON27	male
PERSON9	male
PERSON29	male
PERSON2	male
PERSON28	male
PERSON33	male
PERSON36	female
PERSON38	male
PERSON1	unknown
PERSON30	male
PERSON37	male
PERSON11	male
PERSON12	female
PERSON13	male
PERSON3	male
PERSON17	female
PERSON32	male
PERSON19	female
PERSON15	female
PERSON20	male
PERSON18	male
PERSON14	male
PERSON23	male
PERSON24	female
PERSON10	female
