PERSON10	male
PERSON2	male
PERSON27	female
PERSON1	male
PERSON26	male
PERSON28	male
PERSON19	male
PERSON34	unknown
PERSON15	female
PERSON6	male
PERSON22	male
PERSON8	male
PERSON14	female
PERSON7	female
PERSON33	male
PERSON21	male
PERSON35	female
PERSON32	male
PERSON16	male
PERSON5	male
PERSON23	male
PERSON12	female
PERSON24	male
PERSON31	female
PERSON17	male
PERSON4	female
PERSON11	male
PERSON29	male
PERSON18	male
PERSON3	male
PERSON13	male
PERSON30	male
PERSON20	female
PERSON9	male
PERSON25	female
