PERSON14	male
PERSON8	male
PERSON6	male
PERSON10	male
PERSON31	male
PERSON5	male
PERSON11	male
PERSON36	male
PERSON13	unknown
PERSON7	female
PERSON12	male
PERSON16	female
PERSON23	male
PERSON19	male
PERSON17	male
PERSON24	female
PERSON9	male
PERSON25	male
PERSON30	female
PERSON32	male
PERSON18	male
PERSON21	female
PERSON4	male
PERSON20	male
PERSON34	male
PERSON35	female
PERSON37	male
PERSON27	male
PERSON1	male
PERSON33	female
PERSON2	male
PERSON15	unknown
PERSON29	male
PERSON22	male
PERSON26	male
PERSON3	male
PERSON28	male
