PERSON42	male
PERSON9	male
PERSON4	female
PERSON39	unknown
PERSON27	male
PERSON3	male
PERSON22	male
PERSON31	female
PERSON33	male
PERSON7	male
PERSON35	female
PERSON29	unknown
PERSON8	male
PERSON40	male
PERSON15	male
PERSON6	male
PERSON23	male
PERSON30	male
PERSON2	male
PERSON38	male
PERSON5	female
PERSON26	male
PERSON36	male
PERSON17	unknown
PERSON1	male
PERSON19	male
PERSON37	male
PERSON32	male
PERSON10	male
PERSON13	unknown
PERSON21	male
PERSON24	male
PERSON16	unknown
PERSON20	female
PERSON25	male
PERSON34	female
PERSON18	male
PERSON41	male
PERSON28	male
PERSON14	female
PERSON12	female
PERSON11	female
